timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1537239964227,119,SignIn,200,,SignIn 1-1,true,,235,6,6,119,0,3
1537239964360,5,SignIn,200,,SignIn 1-2,true,,235,7,7,5,0,1
1537239964694,12,SignIn,200,,SignIn 1-10,true,,235,17,17,12,0,2
1537239964714,15,SignIn,200,,SignIn 1-16,true,,235,18,18,15,0,2
1537239964736,12,SignIn,200,,SignIn 1-4,true,,235,18,18,12,0,2
1537239964770,12,SignIn,200,,SignIn 1-3,true,,235,19,19,12,0,2
1537239964847,12,SignIn,200,,SignIn 1-5,true,,235,22,22,12,0,2
1537239964883,15,SignIn,200,,SignIn 1-7,true,,235,23,23,15,0,2
1537239964926,18,SignIn,200,,SignIn 1-9,true,,235,24,24,18,0,2
1537239964920,53,AddWeibo,200,,SignIn 1-1,true,,160,25,25,53,0,0
1537239965106,18,SignIn,200,,SignIn 1-6,true,,235,30,30,18,0,2
1537239965112,22,AddWeibo,200,,SignIn 1-2,true,,160,30,30,22,0,0
1537239965117,22,SignIn,200,,SignIn 1-19,true,,235,30,30,22,0,2
1537239965144,16,AddWeibo,200,,SignIn 1-3,true,,160,31,31,16,0,0
1537239965145,17,SignIn,200,,SignIn 1-27,true,,235,31,31,17,0,2
1537239965166,19,SignIn,200,,SignIn 1-21,true,,235,31,31,19,0,2
1537239965202,15,SignIn,200,,SignIn 1-12,true,,235,32,32,15,0,3
1537239965215,19,SignIn,200,,SignIn 1-8,true,,235,33,33,19,0,2
1537239965223,18,AddWeibo,200,,SignIn 1-9,true,,160,33,33,18,0,0
1537239965282,16,SignIn,200,,SignIn 1-24,true,,235,35,35,16,0,2
1537239965298,34,SignIn,200,,SignIn 1-29,true,,235,36,36,34,0,2
1537239965288,63,GetWeiboList,200,,SignIn 1-1,true,,1737,36,36,63,0,0
1537239965363,21,SignIn,200,,SignIn 1-26,true,,235,37,37,21,0,1
1537239965353,40,SignIn,200,,SignIn 1-18,true,,235,38,38,40,0,3
1537239965375,25,SignIn,200,,SignIn 1-23,true,,235,38,38,25,0,1
1537239965346,56,AddWeibo,200,,SignIn 1-19,true,,160,38,38,56,0,0
1537239965348,56,AddWeibo,200,,SignIn 1-6,true,,160,38,38,56,0,0
1537239965403,5,SignIn,200,,SignIn 1-11,true,,235,38,38,5,0,1
1537239965411,4,SignIn,200,,SignIn 1-14,true,,235,38,38,4,0,1
1537239965382,36,AddWeibo,200,,SignIn 1-12,true,,160,38,38,36,0,0
1537239965411,8,GetWeiboList,200,,SignIn 1-2,true,,1736,38,38,8,0,0
1537239965421,7,AddWeibo,200,,SignIn 1-4,true,,160,39,39,7,0,0
1537239965425,5,AddWeibo,200,,SignIn 1-14,true,,160,39,39,5,0,0
1537239965430,8,GetWeiboList,200,,SignIn 1-3,true,,1735,39,39,8,0,0
1537239965445,4,SignIn,200,,SignIn 1-35,true,,235,39,39,4,0,1
1537239965449,4,SignIn,200,,SignIn 1-15,true,,235,39,39,4,0,1
1537239965456,6,GetWeiboList,200,,SignIn 1-9,true,,1405,40,40,6,0,0
1537239965465,6,AddWeibo,200,,SignIn 1-16,true,,160,40,40,6,0,0
1537239965469,5,SignIn,200,,SignIn 1-30,true,,235,40,40,5,0,1
1537239965504,3,SignIn,200,,SignIn 1-32,true,,235,41,41,3,0,1
1537239965509,3,SignIn,200,,SignIn 1-13,true,,235,41,41,3,0,1
1537239965528,3,SignIn,200,,SignIn 1-17,true,,235,42,42,3,0,0
