timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1537241445425,73,SignIn,200,,SignIn 1-21,true,,235,33,33,73,0,1
1537241445476,22,SignIn,200,,SignIn 1-28,true,,235,33,33,22,0,1
1537241445438,60,SignIn,200,,SignIn 1-19,true,,235,33,33,60,0,1
1537241445364,136,SignIn,200,,SignIn 1-4,true,,235,33,33,136,0,3
1537241445513,18,SignIn,200,,SignIn 1-24,true,,235,38,38,18,0,2
1537241445518,23,SignIn,200,,SignIn 1-18,true,,235,39,39,23,0,3
1537241445561,27,AddWeibo,200,,SignIn 1-24,true,,160,46,46,27,0,0
1537241445539,49,AddWeibo,200,,SignIn 1-28,true,,160,46,46,49,0,0
1537241445573,17,SignIn,200,,SignIn 1-32,true,,235,46,46,17,0,1
1537241445602,10,SignIn,200,,SignIn 1-1,true,,235,49,49,10,0,0
1537241445628,14,SignIn,200,,SignIn 1-46,true,,235,54,54,14,0,1
1537241445669,21,SignIn,200,,SignIn 1-10,true,,235,60,60,21,0,3
1537241445677,19,SignIn,200,,SignIn 1-54,true,,235,61,61,19,0,2
1537241445696,16,AddWeibo,200,,SignIn 1-32,true,,160,64,64,16,0,0
1537241445724,22,SignIn,200,,SignIn 1-13,true,,235,69,69,22,0,2
1537241445726,36,SignIn,200,,SignIn 1-41,true,,235,71,71,36,0,3
1537241445722,47,AddWeibo,200,,SignIn 1-18,true,,160,72,72,47,0,0
1537241445758,17,SignIn,200,,SignIn 1-56,true,,235,73,73,17,0,3
1537241445780,10,SignIn,200,,SignIn 1-37,true,,235,75,75,10,0,2
1537241445784,9,SignIn,200,,SignIn 1-7,true,,235,76,76,9,0,2
1537241445737,59,GetWeiboList,200,,SignIn 1-24,true,,1576,76,76,59,0,0
1537241445793,7,SignIn,200,,SignIn 1-60,true,,235,76,76,7,0,1
1537241445756,47,AddWeibo,200,,SignIn 1-4,true,,160,77,77,47,0,0
1537241445794,11,AddWeibo,200,,SignIn 1-37,true,,160,77,77,11,0,0
1537241445804,4,SignIn,200,,SignIn 1-43,true,,235,78,78,4,0,1
1537241445808,4,SignIn,200,,SignIn 1-75,true,,235,78,78,4,0,1
1537241445809,4,AddWeibo,200,,SignIn 1-13,true,,160,78,78,4,0,0
1537241445817,4,SignIn,200,,SignIn 1-40,true,,235,80,80,4,0,1
1537241445821,4,SignIn,200,,SignIn 1-73,true,,235,80,80,4,0,1
1537241445824,4,SignIn,200,,SignIn 1-36,true,,235,81,81,4,0,1
1537241445828,4,SignIn,200,,SignIn 1-79,true,,235,81,81,4,0,1
1537241445838,3,SignIn,200,,SignIn 1-72,true,,235,83,83,3,0,1
1537241445847,4,SignIn,200,,SignIn 1-20,true,,235,84,84,4,0,1
1537241445870,13,SignIn,200,,SignIn 1-27,true,,235,89,89,13,0,2
1537241445887,26,SignIn,200,,SignIn 1-5,true,,235,93,93,26,0,2
1537241445891,43,SignIn,200,,SignIn 1-12,true,,235,96,96,43,0,3
1537241445907,32,SignIn,200,,SignIn 1-14,true,,235,97,97,32,0,3
1537241445889,53,GetWeiboList,200,,SignIn 1-4,true,,1407,97,97,53,0,0
1537241445915,28,SignIn,200,,SignIn 1-9,true,,235,97,97,28,0,3
1537241445918,31,SignIn,200,,SignIn 1-42,true,,235,98,98,31,0,3
1537241445924,32,SignIn,200,,SignIn 1-15,true,,235,99,99,32,0,2
1537241445924,36,SignIn,200,,SignIn 1-11,true,,235,100,100,36,0,2
1537241445906,55,SignIn,200,,SignIn 1-61,true,,235,100,100,55,0,4
1537241445922,42,SignIn,200,,SignIn 1-2,true,,235,100,100,42,0,2
1537241445932,32,SignIn,200,,SignIn 1-30,true,,235,100,100,32,0,1
1537241445883,83,AddWeibo,200,,SignIn 1-73,true,,160,101,101,83,0,0
1537241445953,14,SignIn,200,,SignIn 1-63,true,,235,101,101,14,0,1
1537241445952,16,AddWeibo,200,,SignIn 1-21,true,,160,101,101,16,0,0
1537241445926,42,SignIn,200,,SignIn 1-8,true,,235,101,101,42,0,2
1537241445971,7,SignIn,200,,SignIn 1-82,true,,235,102,102,7,0,1
1537241445971,10,GetWeiboList,200,,SignIn 1-28,true,,1410,103,103,10,0,0
1537241445975,7,SignIn,200,,SignIn 1-87,true,,235,103,103,7,0,1
1537241445992,3,SignIn,200,,SignIn 1-29,true,,235,105,105,3,0,0
1537241446000,3,SignIn,200,,SignIn 1-34,true,,235,106,106,3,0,1
1537241446003,6,AddWeibo,200,,SignIn 1-12,true,,160,107,107,6,0,0
1537241446004,7,AddWeibo,200,,SignIn 1-82,true,,160,107,107,7,0,0
1537241446009,5,SignIn,200,,SignIn 1-66,true,,235,108,108,5,0,0
1537241446011,4,SignIn,200,,SignIn 1-105,true,,235,108,108,4,0,0
1537241446023,3,SignIn,200,,SignIn 1-38,true,,235,110,110,3,0,0
1537241446025,4,SignIn,200,,SignIn 1-108,true,,235,110,110,4,0,0
1537241446027,6,AddWeibo,200,,SignIn 1-30,true,,160,110,110,6,0,0
1537241446034,4,SignIn,200,,SignIn 1-22,true,,235,111,111,4,0,0
1537241446033,5,AddWeibo,200,,SignIn 1-9,true,,160,111,111,5,0,0
1537241446036,4,SignIn,200,,SignIn 1-80,true,,235,111,111,4,0,1
1537241446058,22,AddWeibo,200,,SignIn 1-54,true,,160,116,116,22,0,0
1537241446067,36,SignIn,200,,SignIn 1-84,true,,235,120,120,36,0,2
1537241446068,60,SignIn,200,,SignIn 1-96,true,,235,123,123,60,0,5
1537241446076,64,SignIn,200,,SignIn 1-68,true,,235,126,126,64,0,2
1537241446067,84,AddWeibo,200,,SignIn 1-8,true,,160,127,127,84,0,0
1537241446106,45,SignIn,200,,SignIn 1-67,true,,235,127,127,45,0,2
1537241446107,49,SignIn,200,,SignIn 1-107,true,,235,128,128,49,0,3
1537241446066,97,AddWeibo,200,,SignIn 1-46,true,,160,129,129,97,0,0
1537241446094,69,AddWeibo,200,,SignIn 1-11,true,,160,129,129,69,0,0
1537241446103,64,AddWeibo,200,,SignIn 1-7,true,,160,129,129,64,0,0
1537241446102,65,AddWeibo,200,,SignIn 1-80,true,,160,129,129,65,0,0
1537241446157,19,SignIn,200,,SignIn 1-93,true,,235,131,131,19,0,1
1537241446168,8,SignIn,200,,SignIn 1-115,true,,235,131,131,8,0,1
1537241446176,5,SignIn,200,,SignIn 1-55,true,,235,132,132,5,0,1
1537241446163,20,SignIn,200,,SignIn 1-123,true,,235,132,132,20,0,1
1537241446144,40,SignIn,200,,SignIn 1-64,true,,235,132,132,40,0,1
1537241446161,32,AddWeibo,200,,SignIn 1-38,true,,160,133,133,32,0,0
1537241446150,44,SignIn,200,,SignIn 1-77,true,,235,133,133,44,0,1
1537241446185,12,SignIn,200,,SignIn 1-121,true,,235,134,134,12,0,1
1537241446193,6,SignIn,200,,SignIn 1-57,true,,235,134,134,6,0,0
1537241446170,30,SignIn,200,,SignIn 1-118,true,,235,135,135,30,0,1
1537241446170,31,SignIn,200,,SignIn 1-62,true,,235,135,135,31,0,1
1537241446169,34,AddWeibo,200,,SignIn 1-10,true,,160,135,135,34,0,0
1537241446196,9,SignIn,200,,SignIn 1-70,true,,235,135,135,9,0,1
1537241446191,15,SignIn,200,,SignIn 1-128,true,,235,135,135,15,0,1
1537241446099,111,SignIn,200,,SignIn 1-25,true,,235,136,136,111,0,3
1537241446206,12,AddWeibo,200,,SignIn 1-5,true,,160,137,137,12,0,0
1537241446223,7,GetWeiboList,200,,SignIn 1-38,true,,1575,139,139,7,0,0
1537241446230,10,AddForward,200,,SignIn 1-38,true,,160,140,140,10,0,0
1537241446235,7,SignIn,200,,SignIn 1-129,true,,235,141,141,7,0,1
1537241446235,8,SignIn,200,,SignIn 1-58,true,,235,141,141,8,0,1
1537241446237,9,SignIn,200,,SignIn 1-6,true,,235,141,141,9,0,1
1537241446235,11,SignIn,200,,SignIn 1-49,true,,235,141,141,11,0,1
1537241446241,17,GetWeiboList,200,,SignIn 1-8,true,,1407,143,143,17,0,0
1537241446236,24,SignIn,200,,SignIn 1-35,true,,235,143,143,24,0,1
