timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1537171536737,220,SignUp,200,,Scenario 1 1-2,true,,160,8,8,220,0,2
1537171536927,38,SignUp,200,,Scenario 1 1-8,true,,160,8,8,38,0,1
1537171536895,72,SignUp,200,,Scenario 1 1-7,true,,160,7,7,72,0,1
1537171536862,109,SignUp,200,,Scenario 1 1-6,true,,160,6,6,109,0,1
1537171536798,175,SignUp,200,,Scenario 1 1-4,true,,160,5,5,175,0,3
1537171536962,24,SignUp,200,,Scenario 1 1-9,true,,160,4,4,24,0,1
1537171536828,161,SignUp,200,,Scenario 1 1-5,true,,160,3,3,161,0,1
1537171536764,225,SignUp,200,,Scenario 1 1-3,true,,160,3,3,225,0,5
1537171536698,294,SignUp,200,,Scenario 1 1-1,true,,160,1,1,294,0,5
1537171536994,7,SignUp,200,,Scenario 1 1-10,true,,160,1,1,7,0,1
1537171537028,23,SignUp,200,,Scenario 1 1-11,true,,160,1,1,22,0,4
1537171537068,19,SignUp,200,,Scenario 1 1-12,true,,160,1,1,19,0,3
1537171537096,22,SignUp,200,,Scenario 1 1-13,true,,160,1,1,22,0,3
1537171537130,33,SignUp,200,,Scenario 1 1-14,true,,160,1,1,33,0,5
1537171537169,35,SignUp,200,,Scenario 1 1-15,true,,160,2,2,35,0,5
1537171537196,23,SignUp,200,,Scenario 1 1-16,true,,160,1,1,23,0,2
1537171537229,13,SignUp,200,,Scenario 1 1-17,true,,160,1,1,13,0,1
1537171537260,11,SignUp,200,,Scenario 1 1-18,true,,160,1,1,11,0,1
1537171537296,20,SignUp,200,,Scenario 1 1-19,true,,160,1,1,20,0,3
1537171537332,26,SignUp,200,,Scenario 1 1-20,true,,160,1,1,26,0,4
1537171537362,18,SignUp,200,,Scenario 1 1-21,true,,160,1,1,18,0,3
1537171537396,30,SignUp,200,,Scenario 1 1-22,true,,160,1,1,30,0,3
1537171537431,14,SignUp,200,,Scenario 1 1-23,true,,160,1,1,14,0,2
1537171537460,11,SignUp,200,,Scenario 1 1-24,true,,160,1,1,11,0,2
1537171537496,17,SignUp,200,,Scenario 1 1-25,true,,160,1,1,17,0,2
1537171537529,17,SignUp,200,,Scenario 1 1-26,true,,160,1,1,17,0,2
1537171537560,21,SignUp,200,,Scenario 1 1-27,true,,160,1,1,21,0,3
1537171537595,31,SignUp,200,,Scenario 1 1-28,true,,160,1,1,31,0,3
1537171537646,35,SignUp,200,,Scenario 1 1-29,true,,160,2,2,35,0,3
1537171537672,14,SignUp,200,,Scenario 1 1-30,true,,160,1,1,14,0,1
1537171537693,9,SignUp,200,,Scenario 1 1-31,true,,160,1,1,9,0,1
1537171537728,8,SignUp,200,,Scenario 1 1-32,true,,160,1,1,8,0,1
1537171537760,9,SignUp,200,,Scenario 1 1-33,true,,160,1,1,9,0,1
1537171537795,29,SignUp,200,,Scenario 1 1-34,true,,160,1,1,28,0,2
1537171537830,24,SignUp,200,,Scenario 1 1-35,true,,160,1,1,24,0,6
1537171537861,52,SignUp,200,,Scenario 1 1-36,true,,160,2,2,52,0,9
1537171537903,32,SignUp,200,,Scenario 1 1-37,true,,160,2,2,32,0,3
1537171537928,17,SignUp,200,,Scenario 1 1-38,true,,160,1,1,17,0,2
1537171537959,10,SignUp,200,,Scenario 1 1-39,true,,160,1,1,10,0,2
1537171537993,8,SignUp,200,,Scenario 1 1-40,true,,160,1,1,8,0,1
1537171538026,10,SignUp,200,,Scenario 1 1-41,true,,160,1,1,10,0,2
1537171538060,22,SignUp,200,,Scenario 1 1-42,true,,160,1,1,22,0,3
1537171538095,28,SignUp,200,,Scenario 1 1-43,true,,160,1,1,28,0,3
1537171538131,96,SignUp,200,,Scenario 1 1-44,true,,160,3,3,95,0,4
1537171538196,32,SignUp,200,,Scenario 1 1-45,true,,160,2,2,32,0,5
1537171538197,34,SignUp,200,,Scenario 1 1-46,true,,160,1,1,34,0,3
1537171538233,7,SignUp,200,,Scenario 1 1-47,true,,160,1,1,7,0,1
1537171538260,6,SignUp,200,,Scenario 1 1-48,true,,160,1,1,6,0,0
1537171538294,17,SignUp,200,,Scenario 1 1-49,true,,160,1,1,17,0,3
1537171538328,19,SignUp,200,,Scenario 1 1-50,true,,160,1,1,19,0,2
